Query	UserId	ChatsNum	BotAnswersNum	HelpsNum	Len	week
Добрый день! подскажите, пжл, можно ли оформить компенсацию за использование личного транспорта, если данный транспорт генеральный директор использует по договору безвозмездной аренды?	19062181	1	0	0	22	42
Добрый день,	19634895	1	0	0	2	42
Здравствуйте! штрафы ГИБДД на какой счет 91 или 99?	5326144	1	0	0	9	42
Добрый день. при присоединении одной организации к другой, какие действия у присоединяемой организации, какие отчеты в ИФНС (налоговая, бухгалтерская), какие сроки сдачи отчетов, подачи заявлений.	537365	1	0	0	25	42
"Мы ООО на УСН (доходы минус расходы) В нашу организацию пришел на мед. осмотр (физ. лицо) сотрудник от Юр. лица (с этим Юр. лицом у нас договор на платные мед услуги) и в рамках этого договора сотрудник как физ. лицо прошел мед. осмотр и оплатил за этот мед. осмотр сам. По итогу через время просят сделать возврат за мед. осмотр. физ. лицу и выставить счет на юр. лицо. Правомерно ли делать такой возврат? Претензии со стороны Налоговой по уменьшению налоговой базы будут к нам?
Хочется получить ответ на базе Налогового Кодекса. Какие могут к нам быть претензии от Налогового органа, если мы сделае"	1662260	1	0	0	103	42
Здравствуйте. ООО1 передает движимое и недвижимое имущество в уставный капитал ООО2 у которого является учредителем со 100% владением.	17634267	1	0	0	18	42
как выставить поставщику транспортные расходы при возврате бракованного товара	6568152	1	0	0	9	42
Здравствуйте! Вопрос: Покупатель изьявил желание перенести свой авансовый остаток на другое предприятие. Может ли продавец у себя так перенести остаток без никаких писем-заявлений по устной просьбе?	2026913	1	0	0	26	42
Здравствуйте! Подскажите как правильно оформить безвозмездную передачу (Подарок). Мы дарим партнеру телефон в размере 100 000,00 рублей,. Как лучше оформить безвозмездную передачу как юр. лицу или как физ. лицу?	20568392	1	0	0	29	42
Здравствуйте. ИФНС, ссылаясь на то что на момент уплаты налогов по требованию (уплачена вся сумма по требованию) у организации осталось отрицательное сальдо по ЕНС, выносит решение о неисполнении требования и выставляет инкассовое поручение в банк. Инспектор налоговой объясняет динамическим сальдо по ЕНС и статьей 69 НК. Правомерны ли действия ИФНС в этой ситуации, просим дать ссылку на конкретные документы, для того чтобы разобраться.	6692420	1	0	0	63	42
Доброе утро! Как связаться с нашим менеджером на продление подписки Вип системы главбух напишите, пожалуйста.	607759	1	0	0	15	42
"Здравствуйте! Какое КБК для зачисления средств в бюджет нужно использовать по следующей операции: 
""Удержание обеспечения заявки"" ?"	5352281	1	0	0	18	42
добрый день ! Может ли старый директор в последний день подать заявление Р13014 о смене директора?	9762037	1	0	0	16	42
Добрый день! Какие страховые взносы и в каком размере начислять в 2023 г гражданам Узбекистана , временно пребывающие на территории РФ, кроме высококвалифицированных иностранных специалистов, учитывая изменения 04.08.2023 года	3362534	1	0	0	29	42
Здравствуйте! Скажите пожалуйста , если сотрудник уходил в отпуск без сохранения заработной платы на 62 кал. дня и увольняется за какой период работы ему рассчитать, если период работы 11.10.2022г. по 10.10.2023 г. Заранее спасибо.	503762	1	0	0	34	42
Здравствуйте. Какой кбк указывать в Уведомлении и в 6НДФЛ по дивидендам?	4480326	1	1	0	11	42
Здравствуйте	313624	1	1	0	1	42
Добрый день. Сотрудник на сегодня уже отгулял весь свой оплачиваемый отпуск по графику. Но хочет еще пойти. можем ли мы ему по заявлению предоставить оплачиваемый отпуск?	671247	1	0	0	26	42
Доброе утро. Подскажите пожалуйста можно ли сдать декларацию по НДС через личный кабинет налогоплательщика?	15816183	1	0	0	14	42
здравствуйте мне бы найти нормы ГСМ КАМАЗ 43118 -58843 f пкс СПЕЦАЛИЗИРОВАННАЯ МАШИНА . нормв гсм . 2 ) УВЕЛИЧЕНИЕ НОРМ дИЗ ТОПЛИВА . эТО СПЕЦ МАШИНА ДЛЯ ГЕОФИЗИ-Х РАБОТ .	3717071	1	0	0	31	42
Добрый день! изменения по ОС в каких ПБУ и других ст НК	17853683	1	0	0	12	42
Добрый день. Подскажите пожалуйста сотрудник 19.10 вылетает в Пекин, 27 октября возвращает. какие дни считать суточные как загран	3241969	1	0	0	18	42
Здравствуйте! ИП совмещает УСН и ПСН. Чтоб не слететь с панета учитывать фактическую выручку по УСН и патенту?	2379924	1	0	0	18	42
Доброе время суток! Вопрос: ИП хочет ликвидироваться и зарегистрироваться как самозанятый, услуги-парикмахерская. Можно?	14636298	1	0	0	13	42
Добрый день! Прошу ответить на следующий вопрос: 10.01.2023 года вкладчик заключил договор на открытие денежного вклада под 10 % годовых и внес денежные средства в кассу. 15.07.2023 года срок вклада закончился и владелец вклада в этот же день решил открыть новый вклад. Вопрос - существует ли не запрещенный законом способ при передачи или возврате денежных средств без фактического возврата и внесения денежных средств обратно в кассу, при условии, что вкладчик денежные средства не забирает, а оставляет их, по своему заявлению, в организации? Является ли нарушением, если организация не оформила к	6160222	1	0	0	90	42
Доброе утро! Скажите пожалуйста: Договор подряда датирован 25.09.2023 г. В работу отдали 16.10.2023 г. Подать данные СЗВ-ТД надо сегодня или завтра. Вопрос: будет ли за это штраф и в каком размере? С уважением Брежнева С.	4503821	1	0	0	35	42
Мрот	19089531	1	1	1	1	42
барабан удчи	2457498	1	0	0	2	42
спасибо!	639358	1	1	0	1	42
Добрый день! Все ж налоги теперь уходят в КАЗНАЧЕЙСТВО РОССИИ. У меня в программе банка показывает разные ИНН. Можно реквизиты и КБК для перечисления УСН от ИП. Спасибо.	5484540	1	0	0	28	42
Добрый день! По решению суда нашей организации присудили выплатить неустойку, а так же расходы по уплате госпошлины. Какими проводками отразить все в учете?	4433775	1	0	0	23	42
"Добрый день! ООО ""Ника"" (УСН 15%) 16.09.2009г купила помещение, сейчас мы хотим его продать. Какие налоги нам придется заплатить?"	519381	1	0	0	19	42
Здравствуйте, подскажите пожалуйста, может ли ООО в полном объеме принять к расходам по налогу на прибыль обучения сотрудников. Если лимит по деньгам и ограничение по количеству пройденных семинаров и курсов за год?	4638727	1	0	0	32	42
Добрый день! Наша организация пригласила нового сотрудника с другой местности. Мы планируем снимать для него квартиру и возмещать коммунальные расходы. Помогите найти ответ, какими налогами облагаются такие выплаты и как выгодней оформить данные выплаты, как компенсация сотруднику или заключение договора аренды с арендодателем.	1873606	1	0	0	43	42
усн	1739884	1	1	1	1	42
Здравствуйте! Работодатель - г. Москва заключил трудовой договор на дистанционную работу с работником, проживающем в г. Новосибирске. Месте работы в в трудовом договоре указан г. Новосибирск. Но работодатель не указал размер применяемого районного коэффициента. Может ли работник претендовать на применение норм Постановления администрации Новосибирской области от 20 ноября 1995 года N 474 и потребовать увеличить оклад на районный коэффициент 1,25	9111783	1	0	0	60	42
Добрый день. Индивидуальный предприниматель перешел на ОСНО с 01.07.2023. До 01.10.2023 счета-фактуры выставляли без НДС. Теперь нужно скорректировать все выставленные контрагентам сч-ф с НДС, как правильно это сделать? Выставлять корректировочные сч-ф или исправлять ранее выставленные?	16242760	1	0	0	35	42
Доброе утро!	10518717	1	1	0	2	42
Здравствуйте, какие бумаги нужно сделать бухгалтерии, если умер директор единственный учредитель ООО	5337341	1	0	0	12	42
налоговая нагрузка	3814871	1	1	1	2	42
Здравствуйте! Как физлицу оплатить налог за организацию?	2090843	1	0	0	7	42
Здравствуйте.	2511317	1	0	0	1	42
изменения октября	20620530	1	1	1	2	42
Добрый день! Если Арендатор, заключивший договор аренды на 11 месяцев.сдает его в субаренду, надо ли применять ФСБУ 25 Аренда?	19057380	1	0	0	19	42
Расписка в получении денежных средств	751980	1	0	0	5	42
"Добрый день. ИП на упрощенке ""доходы"". По ошибке перечислил денежные средства другому ИП. Будет ли считаться возврат ошибочно перечисленных денежных средств доходом с которых нужно оплачивать6%?"	14381864	1	0	0	26	42
Добрый день. Организация -аэропорт, не имеющий сертификата эксплуатанта приобретает и заправляет авиационным керосином сторонние воздушные суда, обязана ли организация предоставлять декларацию по акцизам на авиационный керосин и если да, то может ли применять вычет, согласно п.21 ст.200 НК РФ ? Спасибо	2015811	1	0	0	41	42
Добрый день. Подскажите законность сбора биометрии магазином при покупке Наш обслуживающий банк предлагает терминалы с дополнительной функцией сбора биометрии. Чем это грозит магазину, должны ли мы дополнительно собирать какие-либо документы с покупателей, сдавать информацию с спец.органы?	4241010	1	0	0	36	42
зарплата	18353858	1	1	1	1	42
справочник отчетности за 9 м-в	129053	1	0	0	5	42
подсобному рабочему 10.02.2023 г была выдана спецодежда- костюм утепленный. 01.10.2023 его перевели на должнеость супервайзера. И он снова просит спецродежду в связи со смкеной должности. Обязан ли работодательо твыдавать ему дополнительно костюм утепленный, если предыдущий еще не изношен?	17954724	1	0	0	38	42
если предприятие 1 произвела работы и услуги предприятию 2. Предприятие 1 хотят рассчитаться машиной. Какие налоги возникают? Если предприятие 1 находится на усно 15 процентов, а предприятие 2 на усно 6%. И есть ли тут какие -то подводные камни?	13676112	1	0	0	39	42
Здравствуйте! Мы принимаем сотрудника , проживающего в г. Новосибирске для работы удаленно. Сама организация находится в Приморском крае. Должны ли мы платить районный коэффициент к заработной плате данному сотруднику. По Новосибирской области коэффициент 1,2	17359321	1	0	0	34	42
Добрый день. Подскажите, пожалуйста, какой датой нужно уволить директора (он же единственный учредитель) общества с ограниченной ответственностью при ликвидации.	244151	1	0	0	19	42
База ответов на вопросы по жизненным ситуациям	3467704	1	1	1	7	42
ФСБУ 5\2019 распределение управленческих расходов	2820066	1	1	1	5	42
Добрый день, запутались с полисами ДМС по временно пребывающим из стран ЕАЭС. Полис ДМС или ОМС должен ли быть прописан в трудовом договоре заключенном в 2023 году?	411184	1	0	0	27	42
Добрый день. вопрос по выплате дивидендов за прощлый период 2016 год. Участников -2 чел. Один стал учредителем в 2020 году-100%. второй в этом году выкупил -49 %. как распределить прибыль за 2015 год?	7887099	1	0	0	33	42
"Добрый день.
ИП на УСНО (Дох-Расх)
Может ли ИП на УСН учесть в налоговой базе расходы на приобретение имущественных прав по договору уступки прав по лицензионному договору (программа 1С)? Как отразить эту операцию в бух.учете&"	9511195	1	0	0	35	42
Доброе утро! Какими показателями определяется отнесение к ОКВЭДу 01.05 Смешанное сельское хозяйство?	2797634	1	0	0	12	42
оформление прогула	235874	1	1	1	2	42
Добрый день, можно ли производить модернизацию ОС, который находится в лизинге с последующим выкупом?	17728452	1	0	0	14	42
Добрый день! Нужно ли сотрудникам предоставлять справки со школы (о том,что ребенок действительно учиться) на детей до 18 лет?	853625	1	0	0	19	42
Добрый день! Можно ли расторгнуть контракт на передачу неисключительных прав использования базы данных?	6933712	1	0	0	13	42
изменение октября	19541424	1	1	1	2	42
микро предприятие, сколько должно быть сотрудников\	12667839	1	0	0	6	42
справочник отчетности за 9 месяцев	3007432	1	1	1	5	42
Добрый день,на нашего сотрудника пришел исполнительный лист, также он пришел в банк, в котором сотрудник обслуживается. Мы как работодатель удержали с него 50%,отправили в банк реестр и указали сумму удержания как требует форма реестра банка. Банк получив сумму к выплате удержали с человека еще 50%. Как быть в такой ситуации и доказать банку, что они не правы? какой порядок взыскания сумм по исполнительным листам в данной ситуации?	16228495	1	0	0	67	42
доброе утро! налоговая прислала запрос на документы. сведения об отражении данных операций на счетах бух учета это что они имеют ввиду? какой вид документов им отправить?	8759693	1	0	0	26	42
Добрый день. Просьба подобрать ссылки по всем последнимизменениям связанным с и льготой. Какие последние изменения по проверке и компаний	6350351	1	0	0	19	42
ЗДРАВСТВУЙТЕ! СИСТЕМА НЕ РАБОТАЕТ ПРИ ВВОДЕ ЗАПРОСА В ПОИСКОВУЮ СТРОКУ	752549	1	0	0	10	42
моторное масло	10528375	1	0	0	2	42
изменения октября	1957318	1	1	1	2	42
Здравствуйте, ПСВ надо нулевой сдавать ?	412969	1	0	0	6	42
"Доброе утро, нужно ли составлять путевые листы при усн ""доходы минус расходы""?"	2332191	1	0	0	12	42
Доброе утро, Направляю свой вопрос экспертам. В 2022 году начала дорогостоящее лечение в стоматологии. Оплату вносила частями: в июне 2022 г, в ноябре 2022 года и последняя оплата по окончанию всего лечения прошла в апреле 2023 года. Вопрос : могу ли я подать декларацию за 2023 год на возврат НДФЛ одной общей суммой в 2024 году или нужно отдельно подать за 2022 год и отдельно за 2023 год? Помогите пожалуйста разобраться.	5233454	1	0	0	71	42
Добрый день! Подскажите пожалуйста какие наши действия, если сотрудник не выходит на работу?	934349	1	0	0	13	42
изменения октября	20669258	1	1	1	2	42
Добрый день. Сотрудница сменила фамилию., самостоятельно подала сведения в сфр о смене фамилии. Должна организация подавать информировать сфр о смене фамилии?	919387	1	0	0	21	42
Ошибки которые находит налоговая в уведомлениях по НДФЛ	20248923	1	1	1	8	42
Добрый день. Раньше мы не вели воинский учет. У нас 2 мужчин. Подскажите, пожалуйста, сейчас сроки предоставления отчетов в военкомат? Какие?	467876	1	0	0	21	42
Добрый день. помогите пжл найти материал на тему: Сотрудник работает в графике 3 дня работает/ з дня отдыхает. ушел на больничный в совой выходной день. как бухгалтеру оплатить в этом случае пособие? за дни, которые приходились на рабочие дни или за весь период?	6131606	1	0	0	43	42
Добрый день! Мы аккредитованная it компания применяем пониженный тариф заключили договор оказания услуг с физическим лицом по которому выплачиваем вознаграждение за рекомендацию кандидата на трудоустройство. Вопрос: какой размер страховых взносов будет по договору оказания услуг, можем ли применить пониженный тариф к данному договору?	6772022	1	0	0	43	42
единовременное пособие при рождении ребенка какие документы нужно принести	16844894	1	1	1	9	42
Доброе утро. Подскажите код дохода для материальной помощи, оказываемой работникам в связи со смертью близкого родственника?	1817545	1	0	0	16	42
Доброе утро! После увольнения бывший сотрудник принес больничный лист. Ему оплатили 3 дня за счет работадателя. Нужно ли эти дни отражать в ЕФС-1	5889880	1	0	0	23	42
Добрый день. Наш сотрудник в командировке арендовал жилье у физ.лица. Оформили договор и расписку в получении наличных денег. Должна ли наша компания исчислить и уплатить НДФЛ за арендодателя?	12788959	1	0	0	28	42
Добрый день. Подскажите , какими документами списать неисправный инструмент.	20597233	1	0	0	9	42
добрый день. Пришло требование от налоговой о предоставление документов по фирме поставщика :	169437	1	0	0	13	42
Здравствуйте	766595	1	1	0	1	42
изменения октября	5537319	1	1	1	2	42
Добрый день. Подскажите, создается ли ликвидационная комиссия и приказ на ликвидация здания, если есть решение суда о сносе?	228570	1	0	0	18	42
налоговая нагрузка в хабаровске оптовая продажа	590835	1	1	1	6	42
Здравствуйте. Организация оплатила проезд члену экипажа судна от его места жительства (г. Москва) до места смены экипажа судна (г. Южно-Сахалинск). Вопрос: Возникает ли исчисление НДФЛ у данного члена экипажа и страховых взносов?	9491923	1	0	0	32	42
барабан удачи	6662095	1	1	1	2	42
Письмо в свободной форме об отсутствии налогооблагаемой базы по налогу НДФЛ. Поступило требование в отношении несовершеннолетних детей. В 2022 году, продали квартиру с площадью 80 кв. метров. В 2022 году купили квартиру с площадь 220 кв. метров	751980	1	0	0	37	42
Доброе утро, помогите с вопросом , пожалуйста.	19615021	1	0	0	7	42
здравствуйте	1649242	1	1	1	1	42
Добрый день! В декабре 2024,31 декабря выходной за счет 7 января.Считается ли он праздничным для сменщиков?	16160608	1	0	0	16	42
мрот	18353858	1	1	1	1	42
изменения октября	2541330	1	1	1	2	42
Доброе утро!	6934302	1	1	1	2	42
единственному родителю. Например, вдове или вдовцу или одинокому родителю, который записан в свидетельстве о рождении ребенка как единственный , какой код вычета???	6291716	1	0	0	22	42
Добрый день! Предприятие с видом деятельности аутсорсинг бухгалтерии может быть на патенте или усн ???	4309886	1	0	0	15	42
налоговая нагрузка	3381364	1	1	1	2	42
Как отчитаться если мы полгода использвоали патент с 1 янаваря по 31 июля и перешли на упрощенку с 1 августа (доходы минус расходы)	6935657	1	0	0	23	42
заевление на вычет	20107072	1	0	0	3	42
Доброго дня! Сотрудник едет в командировку на собственном автомобиле. Уточните, пожалуйста, какие документы нужно оформить? Как компенсировать ему затраты на топливо? Как отразить затраты по командировке в БУ и НУ. Просьба сослаться на нормативное законодательство. Заранее благодарю!	15796275	1	0	0	37	42
Добрый день! У нас на предприятии отбывал наказание в виде исправительных работ сотрудник. С ним был заключен срочный договор на 6 месяцев (срок наказания). Срочный трудовой договор подходит к концу. Подскажите, пожалуйста, как правильно расторгнуть подобный договор и какую запись сделать в трудовой книжке? Большое спасибо!	19485624	1	0	0	46	42
каким образом оформить декретный отпуск на папу	16844894	1	0	0	7	42
Добрый день! Обязаны ли ИП вечти воинский учет?,	18585930	1	0	0	8	42
Спасибо!	20375028	1	1	1	1	42
Добрый день! У организации утеряно право применения УСНО. И с 2 квартала применяется ОСНО. В декларации по налогу на прибыль ( квартальная) за полугодие нужно рассчитывать и отражать сумму авансовых платежей?	16381186	1	0	0	31	42
здравствуйте	5885996	1	1	1	1	42
Добрый день. можно ли уволить директора. и только через несколько дней оформить нового?	634625	1	0	0	13	42
Доброе утро! Вопрос - Компания оформила на водителя именную карточку тахографа с периодом действия 3 года, До истечения этого срока водитель увольняется. На предложение выкупить данную карточку получен отказ. Имеет ли компания право произвести удержание в виде причиненного ущерба от остаточной стоимости карточки	13849126	1	0	0	43	42
Добрый день! Компания ликвидируется. Компания дочка. Советом директоров материнской компании Генеральный директор Компании дочки назначается председателем ликвидационной комиссии. Должен ли быть заключен с ним договор об оказании услуг? С уважением Брежнева С.	4503821	1	0	0	32	42
Добрый день! С контрагентом по договору за выполнеие условий положена премия раз в квартал, акт по премии контрагент не успевает дать в 3 квартале. Подскажите, можно ли начисление сделать не дожидаясь акта , на основе расчетной бух.справки?	6946613	1	0	0	37	42
Доброе утро! Возможно продлить тспытатальный срок работнику и как это сделать	5717950	1	0	0	11	42
Добрый день! Работник в течение нескольких дней не появлялся на работе после выходных. На работу так и не вышел. Работодатель хочет уволить его за прогул. Днем прекращения трудового договора во всех случаях является последний день работы работника, за исключением случаев, когда работник фактически не работал, но за ним в соответствии с ТК РФ или иным федеральным законом сохранялось место работы (должность) (ч. 3 ст. 84.1 ТК РФ). По многочисленным разъяснениям Роструда, в случае увольнения за прогул днем увольнения работника будет последний день его работы, то есть день, предшествующий прогулу.	17559674	1	0	0	89	42
Добрый день, нужна информация как провести в учете БУ и НУ статью в журнале	20966321	1	0	0	14	42
календарь бухгалтера	7902644	1	1	1	2	42
Добрый день, подскажите можно ли провести в учете чеки на замену масло у автомобиля, если они датированы субботой?	2014777	1	0	0	18	42
чек-лист октябрь	4094521	1	1	1	2	42
образец акта взаимозачете	1874648	1	1	1	3	42
Доброе утро. У нас есть агентский договор. Наша организация Принципал вторая сторона Агент. Агент привлек третье лицо для перевозки нашего груза и дал нам следующие документы: Отчет агента от имени Агента и сч. фактуру от имени третьего лица, который перевозил грузы. Просьба помочь разобраться, каким документом мне поставить эту первичку на приход. У себя в программе я завела у контрагента агентский договор и сделала на основании отчета агента поступление, указав сч.ф. третьего лица. Но в 11 раздел эти данные не попадают. Может на приход такие документы ставятся иначе?	7594240	1	0	0	88	42
Добрый день! Просим направить разъяснения по следующей ситуации:	18785486	1	0	0	8	42
Доброе утро! Если Компания оплачивает за проф.переподготовку своего сотрудника (есть договор на юр.лицо), облагается ли это НДФЛ и взносами, можно ли отразить в затратах по налогу на прибыль ?	833725	1	0	0	29	42
При списании кредиторской задолженности , сумма списания должна быть включена в доходы по УСН?	4451331	1	0	0	14	42
календарь бухгалтера	20961145	1	1	1	2	42
Здравствуйте, такой вопрос: Нам необходимо обучить сотрудников по определенной программе по требованию заказчика, но в этом списке есть человек, который не является нашим сотрудником, он идет как физ. лицо, но в документе СФ (без НДС) будет услуга обезличена, без ФИО. Можем ли мы принять весь документ на 20 сч и насколько протокол является доказательной базой ? С контрагентом есть Договор, будет оплата через банк и Акт с СФ без НДС.	16777630	1	0	0	70	42
Здравствуйте	3751941	1	0	0	1	42
Здравствуйте! В Обществе ЛНА установлена доплата, начисляемая сверх сумм пособий по временной нетрудоспособности в размере до 85% среднего заработка. Человек болеет более 5 месяцев в календарном году. Каким образом можно отнести в расходы по налогу на прибыль указанную доплату, в случае, если сам листок нетрудоспособности уже не оплачивается?	2067487	1	0	0	48	42
Добрый день! Для реализации нашей продукции в Узбекистан, мы приобрели доступ к маркировочным кодам Узбекистана, являемся ли мы налоговыми агентами за приобритения доступа к электронной базе Узбекистана по формированию маркировочных кодов?	1941394	1	0	0	31	42
рабочий стол бухгалтера должен работать в версии для упращенки	6646188	1	1	1	9	42
расчет отпуска	2601257	1	1	1	2	42
